,experiment_id,start_times,end_times,parameter_values
0,experiment_1066,1.76013541222,1.86013541222,16
1,experiment_1066,3.05325269699,3.15325269699,5
2,experiment_1066,4.34495711327,4.44495711327,10
3,experiment_1066,5.63776731491,5.73776731491,7
4,experiment_1066,6.92662501335,7.02662501335,4
5,experiment_1066,8.21792984009,8.31792984009,17
6,experiment_1066,9.51131367683,9.61131367683,13
7,experiment_1066,10.805721283,10.905721283,15
8,experiment_1066,12.0974154472,12.1974154472,20
9,experiment_1066,13.3890378475,13.4890378475,8
10,experiment_1066,14.6893539429,14.7893539429,9
11,experiment_1066,15.9954864979,16.0954864979,12
12,experiment_1066,17.2912456989,17.3912456989,19
13,experiment_1066,18.587230444,18.687230444,18
14,experiment_1066,19.8782896996,19.9782896996,3
15,experiment_1066,21.1736700535,21.2736700535,14
16,experiment_1066,22.4707708359,22.5707708359,6
17,experiment_1066,23.76704216,23.86704216,11
18,experiment_1066,25.0622794628,25.1622794628,3
19,experiment_1066,26.3661181927,26.4661181927,9
20,experiment_1066,27.6608123779,27.7608123779,17
21,experiment_1066,28.956725359,29.056725359,12
22,experiment_1066,30.25258708,30.35258708,14
23,experiment_1066,31.5438203812,31.6438203812,19
24,experiment_1066,32.8370504379,32.9370504379,13
25,experiment_1066,34.1295638084,34.2295638084,20
26,experiment_1066,35.4259171486,35.5259171486,5
27,experiment_1066,36.7210006714,36.8210006714,16
28,experiment_1066,38.0162274837,38.1162274837,15
29,experiment_1066,39.3116488457,39.4116488457,11
30,experiment_1066,40.6064150333,40.7064150333,6
31,experiment_1066,41.8999524117,41.9999524117,4
32,experiment_1066,43.1938478947,43.2938478947,7
33,experiment_1066,44.4956183434,44.5956183434,10
34,experiment_1066,45.7903432846,45.8903432846,8
35,experiment_1066,47.0863587856,47.1863587856,18
36,experiment_1066,48.3812682629,48.4812682629,4
37,experiment_1066,49.6765565872,49.7765565872,10
38,experiment_1066,50.9728586674,51.0728586674,20
39,experiment_1066,52.265586853,52.365586853,19
40,experiment_1066,53.5607011318,53.6607011318,6
41,experiment_1066,54.8551087379,54.9551087379,15
42,experiment_1066,56.1493320465,56.2493320465,3
43,experiment_1066,57.4423778057,57.5423778057,12
44,experiment_1066,58.7357308865,58.8357308865,7
45,experiment_1066,60.0265340805,60.1265340805,16
46,experiment_1066,61.3211669922,61.4211669922,14
47,experiment_1066,62.6291940212,62.7291940212,5
48,experiment_1066,63.9211337566,64.0211337566,11
49,experiment_1066,65.2119164467,65.3119164467,13
50,experiment_1066,66.5043683052,66.6043683052,18
51,experiment_1066,67.7965028286,67.8965028286,17
52,experiment_1066,69.0928969383,69.1928969383,9
53,experiment_1066,70.384396553,70.484396553,8
54,experiment_1066,71.6922903061,71.7922903061,8
55,experiment_1066,73.0083248615,73.1083248615,7
56,experiment_1066,74.3234069347,74.4234069347,15
57,experiment_1066,75.625207901,75.725207901,14
58,experiment_1066,76.9478063583,77.0478063583,19
59,experiment_1066,78.2617316246,78.3617316246,3
60,experiment_1066,79.5721237659,79.6721237659,10
61,experiment_1066,80.8796181679,80.9796181679,12
62,experiment_1066,82.193113327,82.293113327,11
63,experiment_1066,83.4992456436,83.5992456436,13
64,experiment_1066,84.8072111607,84.9072111607,20
65,experiment_1066,86.1163542271,86.2163542271,18
66,experiment_1066,87.4176125526,87.5176125526,6
67,experiment_1066,88.724830389,88.824830389,5
68,experiment_1066,90.0261807442,90.1261807442,4
69,experiment_1066,91.3221142292,91.4221142292,9
70,experiment_1066,92.6182730198,92.7182730198,16
71,experiment_1066,93.9096803665,94.0096803665,17
72,experiment_1066,95.2017736435,95.3017736435,12
73,experiment_1066,96.497635603,96.597635603,13
74,experiment_1066,97.7852437496,97.8852437496,5
75,experiment_1066,99.077306509,99.177306509,11
76,experiment_1066,100.373711109,100.473711109,10
77,experiment_1066,101.663797379,101.763797379,14
78,experiment_1066,102.951037169,103.051037169,16
79,experiment_1066,104.243478775,104.343478775,7
80,experiment_1066,105.540835619,105.640835619,6
81,experiment_1066,106.83684063,106.93684063,20
82,experiment_1066,108.126804113,108.226804113,9
83,experiment_1066,109.421283484,109.521283484,8
84,experiment_1066,110.716121197,110.816121197,17
85,experiment_1066,112.00850153,112.10850153,19
86,experiment_1066,113.300502777,113.400502777,3
87,experiment_1066,114.606983423,114.706983423,15
88,experiment_1066,115.900684357,116.000684357,4
89,experiment_1066,117.197908163,117.297908163,18
90,experiment_1066,118.490032196,118.590032196,15
91,experiment_1066,119.784235239,119.884235239,17
92,experiment_1066,121.076973677,121.176973677,3
93,experiment_1066,122.370316505,122.470316505,11
94,experiment_1066,123.666618586,123.766618586,13
95,experiment_1066,124.95994091,125.05994091,19
96,experiment_1066,126.254133463,126.354133463,10
97,experiment_1066,127.548541069,127.648541069,7
98,experiment_1066,128.843860149,128.943860149,18
99,experiment_1066,130.136711359,130.236711359,14
100,experiment_1066,131.422415018,131.522415018,12
101,experiment_1066,132.714774609,132.814774609,8
102,experiment_1066,134.004472017,134.104472017,20
103,experiment_1066,135.297056913,135.397056913,4
104,experiment_1066,136.589396238,136.689396238,6
105,experiment_1066,137.882503271,137.982503271,5
